==Test: setup
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: DIAGS_event 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:51.512685   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: SYSTEM_CURRENT start
			lower:; upper:; value:2019-05-12 05:39:51:505
2019-05-12 05:39:51.767342   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: DIAGS_sensor 4
			lower:; upper:; value:--PASS--
2019-05-12 05:39:52.346791   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_accel_average_x_200Hz_bubo_pfm
			lower:-0.118; upper:0.118; value:0.015068
2019-05-12 05:39:52.351303   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_accel_average_y_200Hz_bubo_pfm
			lower:-0.118; upper:0.118; value:0.003144
2019-05-12 05:39:52.355825   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_accel_average_z_200Hz_bubo_pfm|X1454
			lower:-1.118; upper:-0.882; value:-0.994175
2019-05-12 05:39:52.360301   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_accel_stdev_x_200Hz_bubo_pfm
			lower:0.00001; upper:0.05; value:0.001576
2019-05-12 05:39:52.364873   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_accel_stdev_y_200Hz_bubo_pfm
			lower:0.00001; upper:0.05; value:0.001010
2019-05-12 05:39:52.369557   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_accel_stdev_z_200Hz_bubo_pfm
			lower:0.00001; upper:0.05; value:0.001317
2019-05-12 05:39:52.374350   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_gyro_average_x_200Hz_bubo_pfm
			lower:-25; upper:25; value:0.021362
2019-05-12 05:39:52.381001   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_gyro_average_y_200Hz_bubo_pfm
			lower:-25; upper:25; value:0.164794
2019-05-12 05:39:52.387329   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_gyro_average_z_200Hz_bubo_pfm
			lower:-25; upper:25; value:-0.317993
2019-05-12 05:39:52.394010   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_gyro_stdev_x_200Hz_bubo_pfm
			lower:0.00001; upper:1; value:0.081144
2019-05-12 05:39:52.399860   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_gyro_stdev_y_200Hz_bubo_pfm
			lower:0.00001; upper:1; value:0.077924
2019-05-12 05:39:52.405165   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_gyro_stdev_z_200Hz_bubo_pfm
			lower:0.00001; upper:1; value:0.069212
2019-05-12 05:39:52.411172   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_gyro_odr_200Hz_bubo_pfm
			lower:180; upper:220; value:199.223030
2019-05-12 05:39:52.416172   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_gyro_temp_200Hz_bubo_pfm
			lower:3; upper:55; value:25.217740
2019-05-12 05:39:52.421879   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: PARSE CM_gyro_invalid_sample_count_200Hz_bubo_pfm
			lower:0; upper:0; value:0
2019-05-12 05:39:52.426736   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: SYSTEM_CURRENT end
			lower:; upper:; value:2019-05-12 05:39:52:426
2019-05-12 05:39:52.470935   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: DIAGS_event 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:52.489466   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: SYSTEM_CURRENT minimum
			lower:; upper:; value:25.5037
2019-05-12 05:39:52.495561   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: SYSTEM_CURRENT maximum
			lower:; upper:; value:54.4836
2019-05-12 05:39:52.503079   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: SYSTEM_CURRENT average
			lower:; upper:; value:38.2066
2019-05-12 05:39:52.511114   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: SYSTEM_CURRENT rms
			lower:; upper:; value:39.418
2019-05-12 05:39:52.515122   PASS
==Test: imu accel/gyro 200hz bubo pfm
==SubTest: DIAGS_sensor 5
			lower:; upper:; value:--PASS--
2019-05-12 05:39:52.596963   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_socgpio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:52.619608   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_sensor 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:52.908462   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_sensor 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:53.056039   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_sensor 2
			lower:; upper:; value:--PASS--
2019-05-12 05:39:53.183468   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_sensor 3
			lower:; upper:; value:--PASS--
2019-05-12 05:39:53.309084   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_sensorreg
			lower:; upper:; value:--PASS--
2019-05-12 05:39:53.334827   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_event 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:53.438998   PASS
==Test: imu accel/gyro 800hz
==SubTest: SYSTEM_CURRENT start
			lower:; upper:; value:2019-05-12 05:39:53:436
2019-05-12 05:39:53.488149   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_sensor 4
			lower:; upper:; value:--PASS--
2019-05-12 05:39:54.116109   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_accel_average_x_800Hz
			lower:-0.118; upper:0.118; value:0.015196
2019-05-12 05:39:54.120918   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_accel_average_y_800Hz
			lower:-0.118; upper:0.118; value:0.003186
2019-05-12 05:39:54.123839   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_accel_average_z_800Hz|X1454
			lower:-1.118; upper:-0.882; value:-0.994173
2019-05-12 05:39:54.128210   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_accel_stdev_x_800Hz
			lower:0.00001; upper:0.05; value:0.003247
2019-05-12 05:39:54.138341   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_accel_stdev_y_800Hz
			lower:0.00001; upper:0.05; value:0.002970
2019-05-12 05:39:54.147404   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_accel_stdev_z_800Hz
			lower:0.00001; upper:0.05; value:0.005410
2019-05-12 05:39:54.162556   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_gyro_average_x_800Hz
			lower:-25; upper:25; value:0.011778
2019-05-12 05:39:54.170723   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_gyro_average_y_800Hz
			lower:-25; upper:25; value:0.172091
2019-05-12 05:39:54.177137   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_gyro_average_z_800Hz
			lower:-25; upper:25; value:-0.322309
2019-05-12 05:39:54.186583   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_gyro_stdev_x_800Hz
			lower:0.00001; upper:1; value:0.153088
2019-05-12 05:39:54.189396   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_gyro_stdev_y_800Hz
			lower:0.00001; upper:1; value:0.139054
2019-05-12 05:39:54.191946   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_gyro_stdev_z_800Hz
			lower:0.00001; upper:1; value:0.147006
2019-05-12 05:39:54.194378   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_gyro_odr_800Hz
			lower:720; upper:880; value:796.891120
2019-05-12 05:39:54.196919   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_gyro_temp_800Hz
			lower:3; upper:55; value:25.191191
2019-05-12 05:39:54.198880   PASS
==Test: imu accel/gyro 800hz
==SubTest: PARSE CM_gyro_invalid_sample_count_800Hz
			lower:0; upper:0; value:0
2019-05-12 05:39:54.201111   PASS
==Test: imu accel/gyro 800hz
==SubTest: SYSTEM_CURRENT end
			lower:; upper:; value:2019-05-12 05:39:54:184
2019-05-12 05:39:54.242607   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_event 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:54.267521   PASS
==Test: imu accel/gyro 800hz
==SubTest: SYSTEM_CURRENT minimum
			lower:; upper:; value:36.7247
2019-05-12 05:39:54.276085   PASS
==Test: imu accel/gyro 800hz
==SubTest: SYSTEM_CURRENT maximum
			lower:; upper:; value:67.0685
2019-05-12 05:39:54.279648   PASS
==Test: imu accel/gyro 800hz
==SubTest: SYSTEM_CURRENT average
			lower:; upper:; value:44.1445
2019-05-12 05:39:54.283332   PASS
==Test: imu accel/gyro 800hz
==SubTest: SYSTEM_CURRENT rms
			lower:; upper:; value:44.8477
2019-05-12 05:39:54.287757   PASS
==Test: imu accel/gyro 800hz
==SubTest: DIAGS_socgpio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:54.296136   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: DIAGS_sensor 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:54.574300   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: DIAGS_sensor 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:54.728107   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: DIAGS_sensor 2
			lower:; upper:; value:--PASS--
2019-05-12 05:39:54.846735   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: DIAGS_sensor 3
			lower:; upper:; value:--PASS--
2019-05-12 05:39:54.972347   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: DIAGS_sensorreg
			lower:; upper:; value:--PASS--
2019-05-12 05:39:54.999463   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: DIAGS_event 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:55.034904   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: SYSTEM_CURRENT start
			lower:; upper:; value:2019-05-12 05:39:55:033
2019-05-12 05:39:55.257946   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: DIAGS_sensor 4
			lower:; upper:; value:--PASS--
2019-05-12 05:39:55.915431   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_accel_average_x_800Hz_bubo_pfm
			lower:-0.118; upper:0.118; value:0.015201
2019-05-12 05:39:55.935496   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_accel_average_y_800Hz_bubo_pfm
			lower:-0.118; upper:0.118; value:0.003171
2019-05-12 05:39:55.945783   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_accel_average_z_800Hz_bubo_pfm|X1454
			lower:-1.118; upper:-0.882; value:-0.993855
2019-05-12 05:39:55.955837   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_accel_stdev_x_800Hz_bubo_pfm
			lower:0.00001; upper:0.05; value:0.003094
2019-05-12 05:39:55.969478   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_accel_stdev_y_800Hz_bubo_pfm
			lower:0.00001; upper:0.05; value:0.003130
2019-05-12 05:39:55.992480   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_accel_stdev_z_800Hz_bubo_pfm
			lower:0.00001; upper:0.05; value:0.005765
2019-05-12 05:39:56.051808   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_gyro_average_x_800Hz_bubo_pfm
			lower:-25; upper:25; value:0.018356
2019-05-12 05:39:56.073335   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_gyro_average_y_800Hz_bubo_pfm
			lower:-25; upper:25; value:0.174539
2019-05-12 05:39:56.081294   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_gyro_average_z_800Hz_bubo_pfm
			lower:-25; upper:25; value:-0.312825
2019-05-12 05:39:56.097686   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_gyro_stdev_x_800Hz_bubo_pfm
			lower:0.00001; upper:1; value:0.159883
2019-05-12 05:39:56.125251   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_gyro_stdev_y_800Hz_bubo_pfm
			lower:0.00001; upper:1; value:0.142278
2019-05-12 05:39:56.160334   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_gyro_stdev_z_800Hz_bubo_pfm
			lower:0.00001; upper:1; value:0.148685
2019-05-12 05:39:56.187443   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_gyro_odr_800Hz_bubo_pfm
			lower:720; upper:880; value:796.894320
2019-05-12 05:39:56.208417   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_gyro_temp_800Hz_bubo_pfm
			lower:3; upper:55; value:25.220695
2019-05-12 05:39:56.228069   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: PARSE CM_gyro_invalid_sample_count_800Hz_bubo_pfm
			lower:0; upper:0; value:0
2019-05-12 05:39:56.240931   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: SYSTEM_CURRENT end
			lower:; upper:; value:2019-05-12 05:39:55:961
2019-05-12 05:39:56.250066   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: DIAGS_event 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:56.258363   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: SYSTEM_CURRENT minimum
			lower:; upper:; value:25.5711
2019-05-12 05:39:56.272631   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: SYSTEM_CURRENT maximum
			lower:; upper:; value:58.9918
2019-05-12 05:39:56.283992   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: SYSTEM_CURRENT average
			lower:; upper:; value:38.0876
2019-05-12 05:39:56.289380   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: SYSTEM_CURRENT rms
			lower:; upper:; value:39.3463
2019-05-12 05:39:56.294913   PASS
==Test: imu accel/gyro 800hz bubo pfm
==SubTest: DIAGS_sensor 5
			lower:; upper:; value:--PASS--
2019-05-12 05:39:56.300803   PASS
==Test: imu accel lnm100
==SubTest: DIAGS_sensor 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:56.305798   PASS
==Test: imu accel lnm100
==SubTest: DIAGS_sensor 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:56.360841   PASS
==Test: imu accel lnm100
==SubTest: DIAGS_sensor 2
			lower:; upper:; value:--PASS--
2019-05-12 05:39:56.416372   PASS
==Test: imu accel lnm100
==SubTest: DIAGS_sensor 3
			lower:; upper:; value:--PASS--
2019-05-12 05:39:56.484743   PASS
==Test: imu accel lnm100
==SubTest: DIAGS_sensorreg
			lower:; upper:; value:--PASS--
2019-05-12 05:39:56.498805   PASS
==Test: imu accel lnm100
==SubTest: DIAGS_event 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:56.535706   PASS
==Test: imu accel lnm100
==SubTest: SYSTEM_CURRENT start
			lower:; upper:; value:2019-05-12 05:39:56:533
2019-05-12 05:39:56.782447   PASS
==Test: imu accel lnm100
==SubTest: DIAGS_sensor 4
			lower:; upper:; value:--PASS--
2019-05-12 05:39:57.356313   PASS
==Test: imu accel lnm100
==SubTest: PARSE accel_average_x_100Hz
			lower:-0.118; upper:0.118; value:0.015261
2019-05-12 05:39:57.366826   PASS
==Test: imu accel lnm100
==SubTest: PARSE accel_average_y_100Hz
			lower:-0.118; upper:0.118; value:0.003293
2019-05-12 05:39:57.385348   PASS
==Test: imu accel lnm100
==SubTest: PARSE accel_average_z_100Hz|X1454
			lower:-1.118; upper:-0.882; value:-0.994864
2019-05-12 05:39:57.392366   PASS
==Test: imu accel lnm100
==SubTest: PARSE accel_stdev_x_100Hz
			lower:0.00001; upper:0.05; value:0.001894
2019-05-12 05:39:57.400889   PASS
==Test: imu accel lnm100
==SubTest: PARSE accel_stdev_y_100Hz
			lower:0.00001; upper:0.05; value:0.001191
2019-05-12 05:39:57.422983   PASS
==Test: imu accel lnm100
==SubTest: PARSE accel_stdev_z_100Hz
			lower:0.00001; upper:0.05; value:0.001042
2019-05-12 05:39:57.435316   PASS
==Test: imu accel lnm100
==SubTest: PARSE accel_odr_100Hz
			lower:90; upper:110; value:99.951656
2019-05-12 05:39:57.445445   PASS
==Test: imu accel lnm100
==SubTest: PARSE accel_temp_100Hz
			lower:3; upper:55; value:24.928531
2019-05-12 05:39:57.449479   PASS
==Test: imu accel lnm100
==SubTest: PARSE accel_invalid_sample_count_100Hz
			lower:0; upper:0; value:0
2019-05-12 05:39:57.453051   PASS
==Test: imu accel lnm100
==SubTest: SYSTEM_CURRENT end
			lower:; upper:; value:2019-05-12 05:39:57:375
2019-05-12 05:39:57.540628   PASS
==Test: imu accel lnm100
==SubTest: DIAGS_event 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:57.561571   PASS
==Test: imu accel lnm100
==SubTest: SYSTEM_CURRENT minimum
			lower:; upper:; value:25.0959
2019-05-12 05:39:57.592466   PASS
==Test: imu accel lnm100
==SubTest: SYSTEM_CURRENT maximum
			lower:; upper:; value:54.2437
2019-05-12 05:39:57.610524   PASS
==Test: imu accel lnm100
==SubTest: SYSTEM_CURRENT average
			lower:; upper:; value:38.0313
2019-05-12 05:39:57.620054   PASS
==Test: imu accel lnm100
==SubTest: SYSTEM_CURRENT rms
			lower:; upper:; value:39.198
2019-05-12 05:39:57.629538   PASS
==Test: imu accel lnm100
==SubTest: DIAGS_sensor 5
			lower:; upper:; value:--PASS--
2019-05-12 05:39:57.638534   PASS
==Test: imu accel lnm800
==SubTest: DIAGS_sensor 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:57.727188   PASS
==Test: imu accel lnm800
==SubTest: DIAGS_sensor 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:57.807779   PASS
==Test: imu accel lnm800
==SubTest: DIAGS_sensor 2
			lower:; upper:; value:--PASS--
2019-05-12 05:39:57.871982   PASS
==Test: imu accel lnm800
==SubTest: DIAGS_sensor 3
			lower:; upper:; value:--PASS--
2019-05-12 05:39:57.940120   PASS
==Test: imu accel lnm800
==SubTest: DIAGS_sensorreg
			lower:; upper:; value:--PASS--
2019-05-12 05:39:57.957287   PASS
==Test: imu accel lnm800
==SubTest: DIAGS_event 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:58.073777   PASS
==Test: imu accel lnm800
==SubTest: SYSTEM_CURRENT start
			lower:; upper:; value:2019-05-12 05:39:58:069
2019-05-12 05:39:58.292363   PASS
==Test: imu accel lnm800
==SubTest: DIAGS_sensor 4
			lower:; upper:; value:--PASS--
2019-05-12 05:39:58.867014   PASS
==Test: imu accel lnm800
==SubTest: PARSE accel_average_x_800Hz
			lower:-0.118; upper:0.118; value:0.015417
2019-05-12 05:39:58.870997   PASS
==Test: imu accel lnm800
==SubTest: PARSE accel_average_y_800Hz
			lower:-0.118; upper:0.118; value:0.003348
2019-05-12 05:39:58.874663   PASS
==Test: imu accel lnm800
==SubTest: PARSE accel_average_z_800Hz|X1454
			lower:-1.118; upper:-0.882; value:-0.994855
2019-05-12 05:39:58.878352   PASS
==Test: imu accel lnm800
==SubTest: PARSE accel_stdev_x_800Hz
			lower:0.00001; upper:0.05; value:0.003436
2019-05-12 05:39:58.882396   PASS
==Test: imu accel lnm800
==SubTest: PARSE accel_stdev_y_800Hz
			lower:0.00001; upper:0.05; value:0.003323
2019-05-12 05:39:58.886229   PASS
==Test: imu accel lnm800
==SubTest: PARSE accel_stdev_z_800Hz
			lower:0.00001; upper:0.05; value:0.006133
2019-05-12 05:39:58.889997   PASS
==Test: imu accel lnm800
==SubTest: PARSE accel_odr_800Hz
			lower:720; upper:880; value:799.656889
2019-05-12 05:39:58.893478   PASS
==Test: imu accel lnm800
==SubTest: PARSE accel_temp_800Hz
			lower:3; upper:55; value:24.879135
2019-05-12 05:39:58.897721   PASS
==Test: imu accel lnm800
==SubTest: PARSE accel_invalid_sample_count_800Hz
			lower:0; upper:0; value:0
2019-05-12 05:39:58.900510   PASS
==Test: imu accel lnm800
==SubTest: SYSTEM_CURRENT end
			lower:; upper:; value:2019-05-12 05:39:58:887
2019-05-12 05:39:59.053515   PASS
==Test: imu accel lnm800
==SubTest: DIAGS_event 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.068980   PASS
==Test: imu accel lnm800
==SubTest: SYSTEM_CURRENT minimum
			lower:; upper:; value:25.1304
2019-05-12 05:39:59.085227   PASS
==Test: imu accel lnm800
==SubTest: SYSTEM_CURRENT maximum
			lower:; upper:; value:58.3193
2019-05-12 05:39:59.105417   PASS
==Test: imu accel lnm800
==SubTest: SYSTEM_CURRENT average
			lower:; upper:; value:37.4968
2019-05-12 05:39:59.124243   PASS
==Test: imu accel lnm800
==SubTest: SYSTEM_CURRENT rms
			lower:; upper:; value:38.677
2019-05-12 05:39:59.135127   PASS
==Test: imu accel lnm800
==SubTest: DIAGS_sensor 5
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.143153   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_socgpio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.151529   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensor 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.425679   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensor 1
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.443061   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensor 2
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.460691   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensor 3
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.610823   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensor 4
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.734729   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensor 5
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.866346   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensorreg
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.895051   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_event 0
			lower:; upper:; value:--PASS--
2019-05-12 05:39:59.928964   PASS
==Test: imu accel/gyro lpnm25
==SubTest: SYSTEM_CURRENT start
			lower:; upper:; value:2019-05-12 05:39:59:925
2019-05-12 05:40:00.065593   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensor 6
			lower:; upper:; value:--PASS--
2019-05-12 05:40:00.695652   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_accel_average_x_800Hz
			lower:-0.118; upper:0.118; value:0.015431
2019-05-12 05:40:00.699094   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_accel_average_y_800Hz
			lower:-0.118; upper:0.118; value:0.003164
2019-05-12 05:40:00.703289   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_accel_average_z_800Hz|X1454
			lower:-1.118; upper:-0.882; value:-0.994329
2019-05-12 05:40:00.714587   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_accel_stdev_x_800Hz
			lower:0.00001; upper:0.05; value:0.001670
2019-05-12 05:40:00.721453   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_accel_stdev_y_800Hz
			lower:0.00001; upper:0.05; value:0.001548
2019-05-12 05:40:00.727153   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_accel_stdev_z_800Hz
			lower:0.00001; upper:0.05; value:0.001365
2019-05-12 05:40:00.734296   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_gyro_average_x_800Hz
			lower:-25; upper:25; value:0.028758
2019-05-12 05:40:00.738995   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_gyro_average_y_800Hz
			lower:-25; upper:25; value:0.169338
2019-05-12 05:40:00.745668   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_gyro_average_z_800Hz
			lower:-25; upper:25; value:-0.328274
2019-05-12 05:40:00.749582   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_gyro_stdev_x_800Hz
			lower:0.00001; upper:1; value:0.100296
2019-05-12 05:40:00.752408   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_gyro_stdev_y_800Hz
			lower:0.00001; upper:1; value:0.147167
2019-05-12 05:40:00.754871   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_gyro_stdev_z_800Hz
			lower:0.00001; upper:1; value:0.104867
2019-05-12 05:40:00.758307   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_gyro_odr_800Hz
			lower:720; upper:880; value:796.895919
2019-05-12 05:40:00.760621   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_gyro_temp_800Hz
			lower:3; upper:55; value:25.164388
2019-05-12 05:40:00.762653   PASS
==Test: imu accel/gyro lpnm25
==SubTest: PARSE CM_gyro_invalid_sample_count_800Hz
			lower:0; upper:0; value:0
2019-05-12 05:40:00.765052   PASS
==Test: imu accel/gyro lpnm25
==SubTest: SYSTEM_CURRENT end
			lower:; upper:; value:2019-05-12 05:40:00:756
2019-05-12 05:40:00.849366   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_event 1
			lower:; upper:; value:--PASS--
2019-05-12 05:40:00.873247   PASS
==Test: imu accel/gyro lpnm25
==SubTest: SYSTEM_CURRENT minimum
			lower:; upper:; value:36.5007
2019-05-12 05:40:00.897651   PASS
==Test: imu accel/gyro lpnm25
==SubTest: SYSTEM_CURRENT maximum
			lower:; upper:; value:66.6496
2019-05-12 05:40:00.920754   PASS
==Test: imu accel/gyro lpnm25
==SubTest: SYSTEM_CURRENT average
			lower:; upper:; value:45.7026
2019-05-12 05:40:00.952253   PASS
==Test: imu accel/gyro lpnm25
==SubTest: SYSTEM_CURRENT rms
			lower:; upper:; value:46.5746
2019-05-12 05:40:00.991697   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensor 7
			lower:; upper:; value:--PASS--
2019-05-12 05:40:01.016263   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_sensor 8
			lower:; upper:; value:--PASS--
2019-05-12 05:40:01.030688   PASS
==Test: imu accel/gyro lpnm25
==SubTest: DIAGS_socgpio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:40:01.040606   PASS
==Test: imu accel/gyro lpnm25 bobu pfm
==SubTest: DIAGS_sensor 0
			lower:; upper:; value:--PASS--
2019-05-12 05:40:01.291557   PASS
==Test: imu accel/gyro lpnm25 bobu pfm
==SubTest: DIAGS_sensor 1
			lower:; upper:; value:--PASS--
2019-05-12 05:40:01.305727   PASS
==Test: imu accel/gyro lpnm25 bobu pfm
==SubTest: DIAGS_sensor 2
			lower:; upper:; value:--PASS--
2019-05-12 05:40:01.324125   PASS
==Test: imu accel/gyro lpnm25 bobu pfm
==SubTest: DIAGS_sensor 3
			lower:; upper:; value:--PASS--
